和らげる	abate
退位する	abdicate
忌み嫌う	abhor
強要する	coerce
共謀	collusion
好戦的な	belligerent
寛大な	benevolent
いじめっ子	bully
頂点	apex
不愉快な	odious
誹謗	calumny
退化する	atrophy
扇動する	instigate
勤勉な	assiduous
明白な	conspicuous
否認する	disavow
痛烈な	scathing
寡黙な	taciturn
反逆者	renegade
悲嘆	lamentation
和解させる	reconcile
緩和する	mitigate
増悪させる	exacerbate
浪費する	squander
引き起こす	engender
非難する	denounce
熟考する	contemplate
推測する	surmise
具現化する	epitomize
誇張する	exaggerate
模倣する	emulate
つぶやく	mutter
冷笑する	sneer
口論する	bicker
あざける	deride
熱望する	yearn
切望する	crave
へつらう	flatter
干渉する	meddle
ためらう	hesitate
朗らかな	jovial
不機嫌な	sullen
横柄な	haughty
内気な	bashful
気まぐれな	capricious
強情な	stubborn
華やかな	flamboyant
質素な	frugal
洗練された	sophisticated
雄弁な	eloquent
退屈な	tedious
ぼろぼろの	dilapidated
壮大な	magnificent
つかの間の	ephemeral
ひどい	atrocious
無謀な	reckless
不可解な	enigmatic
気が遠くなる	staggering
迷信深い	superstitious
邪悪な	nefarious
頑固な	obstinate
静穏	tranquility
苦難	adversity
悲惨	calamity
不快感	resentment
遺産	legacy
起源	inception
頂点	pinnacle
混沌	chaos
遠回し	euphemism
矛盾	paradox
策略	stratagem
独占	monopoly
寡占	oligopoly
貧困	destitution
飢饉	famine
疫病	pestilence
偽善	hypocrisy
憂鬱	melancholy
郷愁	nostalgia
驚嘆	awe
警戒	vigilance
偏見	prejudice
無関心	apathy
高慢	arrogance
誠実	integrity
忍耐	perseverance
雄弁	eloquence
富裕	affluence
欠乏	scarcity
腐敗	corruption
慈善	philanthropy
復活	resurgence
均衡	equilibrium
妥協	compromise
混乱	turmoil
強制	coercion
明確化	clarification
精査	scrutiny
当惑	bewilderment
熟達	proficiency
実用主義	pragmatism
